Línea ATM,LINEA SISTAU,LM_ID,Línea SUBE,Empresa,CUIT,,Jurisdicción,Grupo tarifario,Grupo Empresario,Observación,codlin,parque
L288,288,316,LINEA 288,TRANSPORTES LA PERLITA S.A.,33546349549,TRUE,PROV,U.P.A.,La Perlita,,06010002880,L288
L311,311,317,LINEA 311,TRANSPORTES LA PERLITA S.A.,33546349549,TRUE,PROV,U.P.A.,La Perlita,,06010003110,L311
L312,312,318,LINEA 312,TRANSPORTES LA PERLITA S.A.,33546349549,TRUE,PROV,U.P.A.,La Perlita,,06010003120,L312
L329,329,319,LINEA 329,TRANSPORTES LA PERLITA S.A.,33546349549,TRUE,PROV,U.P.A.,La Perlita,,06010003290,L329
L422,422,320,LINEA 422,TRANSPORTES LA PERLITA S.A.,33546349549,TRUE,PROV,U.P.A.,La Perlita,,06010004220,L422
L500GRO,GR500,519,LINEA 500G,TRANSPORTES LA PERLITA S.A.,33546349549,TRUE,GENERAL RODRIGUEZ,U.M.A.2.,La Perlita,,06013645000,L500GRO
L501MNO,MO501,359,LINEA 501G,TRANSPORTES LA PERLITA S.A.,33546349549,FALSE,MORENO,U.M.A.1.,La Perlita,,06015605010,L501MNO
L322,322,924,LINEA 322 BS AS,LIBERTADOR SAN MARTIN SAT,33546350709,TRUE,PROV,U.P.A.,Nueva Metropol,,06010003220,L322
L327,327,267,LINEA 327,LIBERTADOR SAN MARTIN SAT,33546350709,TRUE,PROV,U.P.A.,Nueva Metropol,,06010003270,L327
L336,336,268,LINEA 336,LIBERTADOR SAN MARTIN SAT,33546350709,TRUE,PROV,U.P.A.,Nueva Metropol,,06010003360,L336
L392,392,269,LINEA 392,LIBERTADOR SAN MARTIN SAT,33546350709,FALSE,PROV,U.P.A.,Nueva Metropol,,06010003920,L392
L141,141,166,LINEA 141,MAYO S.A.T.A.,33546355689,FALSE,JN,S.G.I.,Plaza,,01010001410,L141
L009,9,62,LINEA 9,GENERAL TOMAS GUIDO S.A.C.I.F.,33546610719,TRUE,JN,S.G.I.,GUIDO,,01010000090,L009
L025,25,48,LINEA 25,GENERAL TOMAS GUIDO S.A.C.I.F.,33546610719,TRUE,JN,D.F.,GUIDO,,01010000250,L025
L084,84,49,LINEA 84,GENERAL TOMAS GUIDO S.A.C.I.F.,33546610719,TRUE,JN,D.F.,GUIDO,,01010000840,L084
L271,271,408,LINEA 271,GENERAL TOMAS GUIDO S.A.C.I.F.,33546610719,TRUE,PROV,U.P.A.,GUIDO,,06010002710,L271
L299,299,406,LINEA 299,GENERAL TOMAS GUIDO S.A.C.I.F.,33546610719,TRUE,PROV,U.P.A.,GUIDO,,06010002990,L299
L373,373,409,LINEA 373,GENERAL TOMAS GUIDO S.A.C.I.F.,33546610719,TRUE,PROV,U.P.A.,GUIDO,,06010003730,L373
L384,384,410,LINEA 384,GENERAL TOMAS GUIDO S.A.C.I.F.,33546610719,TRUE,PROV,U.P.A.,GUIDO,,06010003840,L384
L570AVE,AV570,407,LINEA 570,GENERAL TOMAS GUIDO S.A.C.I.F.,33546610719,FALSE,AVELLANEDA,U.M.A.1.,GUIDO,,06010355700,L570AVE
L383,383,535,LINEA 383,TRANSPORTES SAN JUAN BAUTISTA S.A.,33568155829,TRUE,PROV,U.P.A.,MOQSA,,06010003830,L383
L500FVA,FV500,526,LINEA 500H,TRANSPORTES SAN JUAN BAUTISTA S.A.,33568155829,TRUE,FLORENCIO VARELA,U.M.A.1.,MOQSA,,06012745000,L500FVA
L503FVA,FV503,527,LINEA 503,TRANSPORTES SAN JUAN BAUTISTA S.A.,33568155829,TRUE,FLORENCIO VARELA,U.M.A.1.,MOQSA,Descripción de línea SUBE repetida,06012745030,L503FVA
L506FVA,FV506,528,LINEA 506,TRANSPORTES SAN JUAN BAUTISTA S.A.,33568155829,TRUE,FLORENCIO VARELA,U.M.A.1.,MOQSA,,06012745060,L506FVA
L507FVA,FV507,529,LINEA 507,TRANSPORTES SAN JUAN BAUTISTA S.A.,33568155829,TRUE,FLORENCIO VARELA,U.M.A.1.,MOQSA,,06012745070,L507FVA
L508FVA,FV508,530,LINEA 508,TRANSPORTES SAN JUAN BAUTISTA S.A.,33568155829,TRUE,FLORENCIO VARELA,U.M.A.1.,MOQSA,,06012745080,L508FVA
L509FVA,FV509,531,LINEA 509C,TRANSPORTES SAN JUAN BAUTISTA S.A.,33568155829,TRUE,FLORENCIO VARELA,U.M.A.1.,MOQSA,,06012745090,L509FVA
L511FVA,FV511,532,LINEA 511,TRANSPORTES SAN JUAN BAUTISTA S.A.,33568155829,TRUE,FLORENCIO VARELA,U.M.A.1.,MOQSA,,06012745110,L511FVA
L512FVA,FV512,533,LINEA 512,TRANSPORTES SAN JUAN BAUTISTA S.A.,33568155829,TRUE,FLORENCIO VARELA,U.M.A.1.,MOQSA,,06012745120,L512FVA
L513FVA,FV513,534,LINEA 513,TRANSPORTES SAN JUAN BAUTISTA S.A.,33568155829,FALSE,FLORENCIO VARELA,U.M.A.1.,MOQSA,No está SISTAU,06012745130,L513FVA
L514ABR,AB514,386,LINEA 514,EXPRESO ARSENO SRL,33620745559,FALSE,ALMIRANTE BROWN,U.M.A.1.,,Descripción de línea SUBE repetida,06010285140,L514ABR
L501LOB,LO501,356,LINEA 501D,EXPRESO EMPALME LOBOS S.R.L.,33628540859,TRUE,LOBOS,U.M.A.2.,,,06014835010,L501LOB
L502LOB,LO502,335,LINEA 502A,EXPRESO EMPALME LOBOS S.R.L.,33628540859,FALSE,LOBOS,U.M.A.2.,,,06014835020,L502LOB
L006,6,39,LINEA 6,NUDO S.A.,33702234269,TRUE,JN,D.F.,NUDO,,01010000060,L006
L050,50,35,LINEA 50,NUDO S.A.,33702234269,TRUE,JN,D.F.,NUDO,,01010000500,L050
L107,107,58,LINEA 107,NUDO S.A.,33702234269,TRUE,JN,D.F.,NUDO,,01010001070,L107
L150,150,45,LINEA 150,NUDO S.A.,33702234269,FALSE,JN,S.G.I.,NUDO,,01010001500,L150
L503MLO,ME503,925,LINEA 503A BS AS,UNION TRANSITORIA COSA CIA TRANSPORTE VECINAL U.T,33715282009,FALSE,MERLO,U.M.A.1.,COSA,,06015395030,L503MLO
