;PROVINCIA;MUNICIPIO;CUIT;RazonSocial;Linea;AMBA;REC. URB;KM. URB;PAX. URB;Facto rCorr ecKM;Facto r Corre c Rec;Facto r Corre c Pax;Cert Cont;Libro IVA;DDJJ IVA;"Art. 6º Res.
337/
04";"Art. 6º Res.
680/
05";"Art. 7º Res.
680/
05";Cum ple Per miso;Anex o V;Regi men Tarif ario;Cum ple Inc. a;Cum ple Inc. b;Está en Gas oil;"UTA
Cum ple";"CUIT
Valid a";"Res 1 /
12";"Res 422
(Estr uctur a de Cost os)";Habilita do a cobrar;Unid. Habilit en Gasoil;"Unid. NO
Habilit en Gasoil";Litros Go CNRT;Unidad es Compu tables CCP;Agentes computa bles;FC Final
Diciembre (2013);LA PAMPA;PROV;30-67156025-2;TURISMO GENERAL PICO SRL;rg004;NO;0,00;0;0;0,500;0,000;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,00;0,00;0,00;0,00;0,00;1,00000
Diciembre (2013);LA PAMPA;PROV;30-67156025-2;TURISMO GENERAL PICO SRL;rg005;NO;223.498,66;165.600;35.853;0,500;0,500;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,00;0,00;7.879,00;1,00;3,00;1,00000
Diciembre (2013);LA PAMPA;PROV;30-67172513-8;EXPRESO ANGUIL SRL;LP010;NO;245.818,45;108.000;58.286;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,00;0,00;3.267,00;1,95;2,00;1,00000
Diciembre (2013);LA PAMPA;PROV;33-63450718-9;AUTOTRANSPORTES GENERAL PICO SRL;rg006;NO;301.545,66;171.380;33.873;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,00;0,00;4.841,33;2,00;4,50;1,00000
Diciembre (2013);LA PAMPA;PROV;33-63450718-9;AUTOTRANSPORTES GENERAL PICO SRL;rg007;NO;266.274,72;135.780;17.377;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,00;0,00;3.835,67;2,00;4,50;1,00000
Diciembre (2013);LA PAMPA;SANTA ROSA;30-70862070-6;AUTOBUSES SANTA FE S.R.L;L 1;NO;1.130.592,50;369.361;945.052;0,860;0,998;0,974;NO;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;5,58;0,38;11.389,58;5,58;15,54;0,93548
Diciembre (2013);LA PAMPA;SANTA ROSA;30-70862070-6;AUTOBUSES SANTA FE S.R.L;L 2;NO;1.546.746,75;403.909;1.299.282;0,860;1,000;0,972;NO;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;7,81;0,54;12.454,91;7,81;21,76;0,93548
Diciembre (2013);LA PAMPA;SANTA ROSA;30-70862070-6;AUTOBUSES SANTA FE S.R.L;L 3;NO;1.471.197,50;429.161;1.209.015;0,860;0,982;0,975;NO;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;6,69;0,46;13.233,57;6,69;18,65;0,93548
Diciembre (2013);LA PAMPA;SANTA ROSA;30-70862070-6;AUTOBUSES SANTA FE S.R.L;L 4;NO;1.162.912,25;354.376;976.778;0,860;1,000;0,972;NO;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;4,46;0,31;10.927,52;4,46;12,43;0,93548
Diciembre (2013);LA PAMPA;SANTA ROSA;30-70862070-6;AUTOBUSES SANTA FE S.R.L;L 5;NO;487.898,09;149.839;414.314;0,860;1,000;0,961;NO;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,23;0,15;4.620,43;2,23;6,22;0,93548
Diciembre (2013);LA PAMPA;SANTA ROSA;30-70862070-6;AUTOBUSES SANTA FE S.R.L;L 6;NO;481.174,50;169.153;421.276;0,860;1,000;0,932;NO;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,23;0,15;5.215,98;2,23;6,22;0,93548
Diciembre (2013);LA RIOJA;CHILECITO;30-70962373-3;TRANSPORTES ARIEL S.R.L;1;NO;178.325,19;46.512;80.698;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,00;0,00;1.366,62;2,00;2,20;1,00000
Diciembre (2013);LA RIOJA;CHILECITO;30-70962373-3;TRANSPORTES ARIEL S.R.L;2;NO;109.979,33;71.136;66.356;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,00;0,00;2.090,12;2,00;2,20;1,00000
Diciembre (2013);LA RIOJA;CHILECITO;30-70962373-3;TRANSPORTES ARIEL S.R.L;3;NO;17.092,55;170.496;4.427;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,00;0,00;5.009,51;1,00;1,10;1,00000
Diciembre (2013);LA RIOJA;CHILECITO;30-70962373-3;TRANSPORTES ARIEL S.R.L;4;NO;427.471,50;516.480;154.748;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;6,00;0,00;15.175,21;6,00;6,60;1,00000
Diciembre (2013);LA RIOJA;CHILECITO;30-70962373-3;TRANSPORTES ARIEL S.R.L;5;NO;5.829,27;62.016;2.643;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,00;0,00;1.822,15;1,00;1,10;1,00000
Diciembre (2013);LA RIOJA;CHILECITO;30-70962373-3;TRANSPORTES ARIEL S.R.L;6;NO;146.610,34;299.520;40.830;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,00;0,00;8.800,49;2,00;2,20;1,00000
Diciembre (2013);LA RIOJA;CHILECITO;30-70962373-3;TRANSPORTES ARIEL S.R.L;7;NO;171.318,20;134.976;103.367;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;3,00;0,00;3.965,86;3,00;3,30;1,00000
Diciembre (2013);LA RIOJA;CHILECITO;30-70962373-3;TRANSPORTES ARIEL S.R.L;8;NO;40.756,53;334.560;9.225;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;3,00;0,00;9.830,04;3,00;3,30;1,00000
Diciembre (2013);LA RIOJA;LA RIOJA;30-70819195-3;COOPERATIVA INTEGRAL DE PROVISION DE SERVICIOS PARA TRANSPORTISTAS DE PASAJEROS Y CARGA RIOJANOS LIMITADA;1;NO;1.956.874,75;756.854;1.956.875;1,000;0,000;0,000;NO;NO;NO;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;11,56;0,00;26.561,64;11,56;23,43;1,00000
Diciembre (2013);LA RIOJA;LA RIOJA;30-70819195-3;COOPERATIVA INTEGRAL DE PROVISION DE SERVICIOS PARA TRANSPORTISTAS DE PASAJEROS Y CARGA RIOJANOS LIMITADA;2;NO;1.553.723,13;475.741;1.553.722;1,000;0,000;0,000;NO;NO;NO;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;9,91;0,00;16.696,04;9,91;20,08;1,00000
Diciembre (2013);LA RIOJA;LA RIOJA;30-70819195-3;COOPERATIVA INTEGRAL DE PROVISION DE SERVICIOS PARA TRANSPORTISTAS DE PASAJEROS Y CARGA RIOJANOS LIMITADA;3;NO;1.952.345,00;755.112;1.952.345;1,000;0,000;0,000;NO;NO;NO;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;9,91;0,00;26.500,51;9,91;20,08;1,00000
Diciembre (2013);LA RIOJA;LA RIOJA;30-70819195-3;COOPERATIVA INTEGRAL DE PROVISION DE SERVICIOS PARA TRANSPORTISTAS DE PASAJEROS Y CARGA RIOJANOS LIMITADA;4;NO;1.358.940,88;372.300;1.358.941;1,000;0,000;0,000;NO;NO;NO;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;8,26;0,00;13.065,80;8,26;16,73;1,00000
Diciembre (2013);LA RIOJA;LA RIOJA;30-70819195-3;COOPERATIVA INTEGRAL DE PROVISION DE SERVICIOS PARA TRANSPORTISTAS DE PASAJEROS Y CARGA RIOJANOS LIMITADA;5;NO;1.784.742,25;604.002;1.784.742;1,000;0,000;0,000;NO;NO;NO;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;8,26;0,00;21.197,33;8,26;16,73;1,00000
Diciembre (2013);LA RIOJA;LA RIOJA;30-70819195-3;COOPERATIVA INTEGRAL DE PROVISION DE SERVICIOS PARA TRANSPORTISTAS DE PASAJEROS Y CARGA RIOJANOS LIMITADA;6;NO;1.363.470,63;395.514;1.363.470;1,000;0,000;0,000;NO;NO;NO;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;6,60;0,00;13.880,49;6,60;13,39;1,00000
Diciembre (2013);LA RIOJA;LA RIOJA;30-70819195-3;COOPERATIVA INTEGRAL DE PROVISION DE SERVICIOS PARA TRANSPORTISTAS DE PASAJEROS Y CARGA RIOJANOS LIMITADA;7;NO;1.884.397,88;728.832;1.884.397;1,000;0,000;0,000;NO;NO;NO;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;9,91;0,00;25.578,22;9,91;20,08;1,00000
Diciembre (2013);LA RIOJA;LA RIOJA;30-70819195-3;COOPERATIVA INTEGRAL DE PROVISION DE SERVICIOS PARA TRANSPORTISTAS DE PASAJEROS Y CARGA RIOJANOS LIMITADA;8;NO;1.417.828,25;388.433;1.417.828;1,000;0,000;0,000;NO;NO;NO;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;6,60;0,00;13.631,98;6,60;13,39;1,00000
Diciembre (2013);LA RIOJA;LA RIOJA;30-99902250-9;MUNICIPALIDAD DE LA RIOJA;LRMU1;NO;1.340.801,65;499.590;488.813;0,403;1,000;1,000;SI;NO;NO;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;5,00;1,00;7.871,09;3,55;10,65;0,83333
Diciembre (2013);LA RIOJA;LA RIOJA;30-99902250-9;MUNICIPALIDAD DE LA RIOJA;LRMU2;NO;643.525,86;452.880;234.608;0,403;1,000;1,000;SI;NO;NO;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;3,33;0,67;7.135,17;2,37;7,10;0,83333
Diciembre (2013);LA RIOJA;LA RIOJA;30-99902250-9;MUNICIPALIDAD DE LA RIOJA;LRMU3;NO;470.004,59;190.080;171.348;0,403;1,000;1,000;SI;NO;NO;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,67;0,33;2.994,73;1,18;3,55;0,83333
Diciembre (2013);MENDOZA;PROV;20-20626466-8;PEDRO HORACIO MARTIN;580;NO;649.200,38;797.472;16.026;0,877;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;4,00;0,00;9.498,00;4,00;11,00;1,00000
Diciembre (2013);MENDOZA;PROV;30-54627266-0;ANTONIO BUTTINI E HIJOS SRL;401;NO;1.192.838,62;716.403;81.024;0,873;0,873;0,873;NO;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,36;0,16;17.366,77;2,36;6,68;0,93617
Diciembre (2013);MENDOZA;PROV;30-54627266-0;ANTONIO BUTTINI E HIJOS SRL;402;NO;1.267.286,68;531.335;103.870;0,873;0,873;0,873;NO;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,60;0,18;12.880,42;2,60;7,36;0,93617
Diciembre (2013);MENDOZA;PROV;30-54627266-0;ANTONIO BUTTINI E HIJOS SRL;403;NO;36.614,10;91.241;23.622;0,873;0,873;0,873;NO;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,73;0,12;2.211,83;1,73;4,91;0,93617
Diciembre (2013);MENDOZA;PROV;30-54627266-0;ANTONIO BUTTINI E HIJOS SRL;404;NO;515.087,91;266.190;119.713;0,873;0,873;0,873;NO;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,60;0,18;6.452,88;2,60;7,36;0,93617
Diciembre (2013);MENDOZA;PROV;30-54627266-0;ANTONIO BUTTINI E HIJOS SRL;405;NO;108.879,15;57.633;19.593;0,873;0,873;0,873;NO;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,87;0,06;1.397,12;0,87;2,45;0,93617
Diciembre (2013);MENDOZA;PROV;30-54627266-0;ANTONIO BUTTINI E HIJOS SRL;406;NO;160.772,09;56.133;27.642;0,873;0,873;0,873;NO;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,87;0,06;1.360,75;0,87;2,45;0,93617
Diciembre (2013);MENDOZA;PROV;30-54627266-0;ANTONIO BUTTINI E HIJOS SRL;407;NO;700.854,63;260.618;157.262;0,873;0,873;0,873;NO;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;3,47;0,24;6.317,79;3,47;9,82;0,93617
Diciembre (2013);MENDOZA;PROV;30-54627266-0;ANTONIO BUTTINI E HIJOS SRL;521;NO;103.200,76;44.870;54.787;0,873;0,873;0,873;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,87;0,06;1.087,73;0,87;2,45;0,93617
Diciembre (2013);MENDOZA;PROV;30-54627266-0;ANTONIO BUTTINI E HIJOS SRL;522;NO;497.673,44;297.869;268.545;0,873;0,873;0,873;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,60;0,18;7.220,84;2,60;7,36;0,93617
Diciembre (2013);MENDOZA;PROV;30-54627266-0;ANTONIO BUTTINI E HIJOS SRL;523;NO;193.778,94;60.476;103.679;0,873;0,873;0,873;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,73;0,12;1.466,04;1,73;4,91;0,93617
Diciembre (2013);MENDOZA;PROV;30-54627266-0;ANTONIO BUTTINI E HIJOS SRL;524;NO;1.016.073,19;471.387;530.442;0,873;0,873;0,873;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;3,47;0,24;11.427,19;3,47;9,82;0,93617
Diciembre (2013);MENDOZA;PROV;30-54627266-0;ANTONIO BUTTINI E HIJOS SRL;534;NO;388.253,34;207.000;65.802;0,873;0,873;0,873;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,73;0,12;5.018,02;1,73;4,91;0,93617
Diciembre (2013);MENDOZA;PROV;30-54627266-0;ANTONIO BUTTINI E HIJOS SRL;535 A;NO;894.757,31;333.575;53.792;0,873;0,873;0,873;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,73;0,12;8.086,40;1,73;4,91;0,93617
Diciembre (2013);MENDOZA;PROV;30-54627266-0;ANTONIO BUTTINI E HIJOS SRL;535 B;NO;284.868,59;101.621;18.919;0,873;0,873;0,873;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,87;0,06;2.463,47;0,87;2,45;0,93617
Diciembre (2013);MENDOZA;PROV;30-54627266-0;ANTONIO BUTTINI E HIJOS SRL;537 A;NO;1.234.487,44;547.530;68.208;0,873;0,873;0,873;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;3,47;0,24;13.273,01;3,47;9,82;0,93617
Diciembre (2013);MENDOZA;PROV;30-54627266-0;ANTONIO BUTTINI E HIJOS SRL;537 B;NO;1.236.192,09;543.660;68.219;0,873;0,873;0,873;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;4,34;0,30;13.179,20;4,34;12,27;0,93617
Diciembre (2013);MENDOZA;PROV;30-54627266-0;ANTONIO BUTTINI E HIJOS SRL;541;NO;25.688,09;21.300;18.571;0,873;0,873;0,873;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,87;0,06;516,35;0,87;2,45;0,93617
Diciembre (2013);MENDOZA;PROV;30-54627266-0;ANTONIO BUTTINI E HIJOS SRL;542;NO;197.234,70;57.356;108.007;0,873;0,873;0,873;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,73;0,12;1.390,40;1,73;4,91;0,93617
Diciembre (2013);MENDOZA;PROV;30-54627266-0;ANTONIO BUTTINI E HIJOS SRL;543;NO;163.406,73;45.900;100.245;0,873;0,873;0,873;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,87;0,06;1.112,69;0,87;2,45;0,93617
Diciembre (2013);MENDOZA;PROV;30-54627266-0;ANTONIO BUTTINI E HIJOS SRL;544;NO;402.308,72;131.872;209.993;0,873;0,873;0,873;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,73;0,12;3.196,79;1,73;4,91;0,93617
Diciembre (2013);MENDOZA;PROV;30-54627266-0;ANTONIO BUTTINI E HIJOS SRL;545;NO;539.016,31;268.642;233.318;0,873;0,648;0,873;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;3,47;0,24;6.512,30;3,47;9,82;0,93617
Diciembre (2013);MENDOZA;PROV;30-54627327-6;TRANSPORTES GENERAL BARTOLOME MITRE S.R.L.;368;NO;2.369.122,25;1.129.438;855.897;0,830;0,500;0,766;NO;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;23,55;0,00;32.296,07;23,55;48,91;1,00000
Diciembre (2013);MENDOZA;PROV;30-54627327-6;TRANSPORTES GENERAL BARTOLOME MITRE S.R.L.;381 A;NO;1.091.580,63;239.710;225.056;0,830;0,443;0,830;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,94;0,00;6.854,46;0,94;1,96;1,00000
Diciembre (2013);MENDOZA;PROV;30-54627327-6;TRANSPORTES GENERAL BARTOLOME MITRE S.R.L.;381 B;NO;483.112,03;201.480;106.492;0,830;0,830;0,830;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,94;0,00;5.761,28;0,94;1,96;1,00000
Diciembre (2013);MENDOZA;PROV;30-54627327-6;TRANSPORTES GENERAL BARTOLOME MITRE S.R.L.;382;NO;1.361.849,75;608.340;642.244;0,830;0,830;0,830;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,83;0,00;17.395,37;2,83;5,87;1,00000
Diciembre (2013);MENDOZA;PROV;30-54627327-6;TRANSPORTES GENERAL BARTOLOME MITRE S.R.L.;384;NO;1.072.266,88;174.792;541.132;0,830;0,830;0,830;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,88;0,00;4.998,15;1,88;3,91;1,00000
Diciembre (2013);MENDOZA;PROV;30-54627327-6;TRANSPORTES GENERAL BARTOLOME MITRE S.R.L.;385 A;NO;654.286,50;133.000;333.136;0,830;0,830;0,830;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,88;0,00;3.803,11;1,88;3,91;1,00000
Diciembre (2013);MENDOZA;PROV;30-54627327-6;TRANSPORTES GENERAL BARTOLOME MITRE S.R.L.;385 B;NO;624.445,56;378.540;297.631;0,830;0,830;0,830;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;3,77;0,00;10.824,28;3,77;7,83;1,00000
Diciembre (2013);MENDOZA;PROV;30-54627327-6;TRANSPORTES GENERAL BARTOLOME MITRE S.R.L.;386 A;NO;874.444,38;325.887;340.082;0,830;0,830;0,830;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;3,77;0,00;9.318,68;3,77;7,83;1,00000
Diciembre (2013);MENDOZA;PROV;30-54627327-6;TRANSPORTES GENERAL BARTOLOME MITRE S.R.L.;386 B;NO;48.118,65;99.460;17.929;0,830;0,830;0,830;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;0,94;0,00;2.844,04;0,94;1,96;1,00000
Diciembre (2013);MENDOZA;PROV;30-54627327-6;TRANSPORTES GENERAL BARTOLOME MITRE S.R.L.;386 C;NO;414.529,94;175.444;144.816;0,830;0,830;0,830;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,88;0,00;5.016,79;1,88;3,91;1,00000
Diciembre (2013);MENDOZA;PROV;30-54627327-6;TRANSPORTES GENERAL BARTOLOME MITRE S.R.L.;387;NO;1.084.146,13;107.631;355.191;0,830;0,830;0,830;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,88;0,00;3.077,69;1,88;3,91;1,00000
Diciembre (2013);MENDOZA;PROV;30-54627327-6;TRANSPORTES GENERAL BARTOLOME MITRE S.R.L.;388;NO;4.078.232,50;2.322.659;2.028.158;0,830;0,830;0,830;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;15,07;0,00;66.416,01;15,07;31,30;1,00000
Diciembre (2013);MENDOZA;PROV;30-54627327-6;TRANSPORTES GENERAL BARTOLOME MITRE S.R.L.;389 A;NO;1.044.115,50;112.440;492.228;0,830;0,830;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,83;0,00;3.215,20;2,83;5,87;1,00000
Diciembre (2013);MENDOZA;PROV;30-54627327-6;TRANSPORTES GENERAL BARTOLOME MITRE S.R.L.;389 B;NO;501.269,75;230.107;230.369;0,830;0,830;0,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,83;0,00;6.579,87;2,83;5,87;1,00000
Diciembre (2013);MENDOZA;PROV;30-54635766-6;EMPRESA MAIPU S.R.L.;2;NO;13.969.138,00;7.701.079;12.007.486;0,880;1,000;0,840;NO;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;89,46;0,46;232.864,54;89,46;253,38;0,99492
Diciembre (2013);MENDOZA;PROV;30-54635766-6;EMPRESA MAIPU S.R.L.;10111;NO;3.408.319,25;1.493.796;2.452.396;0,880;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;17,59;0,09;45.169,28;17,59;49,83;0,99492
Diciembre (2013);MENDOZA;PROV;30-54635766-6;EMPRESA MAIPU S.R.L.;10114;NO;2.235.911,50;953.798;1.752.522;0,880;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;12,37;0,06;28.840,84;12,37;35,05;0,99492
Diciembre (2013);MENDOZA;PROV;30-54635766-6;EMPRESA MAIPU S.R.L.;10119;NO;1.661.123,88;620.036;1.293.490;0,880;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;7,11;0,04;18.748,60;7,11;20,14;0,99492
Diciembre (2013);MENDOZA;PROV;30-54635766-6;EMPRESA MAIPU S.R.L.;10123;NO;3.897.605,75;1.604.085;3.041.059;0,880;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;22,25;0,11;48.504,17;22,25;63,02;0,99492
Diciembre (2013);MENDOZA;PROV;30-54635766-6;EMPRESA MAIPU S.R.L.;10131;NO;2.752.131,50;1.007.149;2.244.401;0,880;1,000;0,961;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;12,84;0,07;30.454,07;12,84;36,38;0,99492
Diciembre (2013);MENDOZA;PROV;30-54635766-6;EMPRESA MAIPU S.R.L.;10167;NO;944.975,19;505.395;632.583;0,880;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;5,65;0,03;15.282,08;5,65;16,02;0,99492
Diciembre (2013);MENDOZA;PROV;30-54635766-6;EMPRESA MAIPU S.R.L.;10171;NO;176.791,63;144.555;137.045;0,880;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;1,61;0,01;4.371,03;1,61;4,55;0,99492
Diciembre (2013);MENDOZA;PROV;30-54635766-6;EMPRESA MAIPU S.R.L.;10213;NO;606.146,94;210.443;438.285;0,880;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,29;0,01;6.363,36;2,29;6,50;0,99492
Diciembre (2013);MENDOZA;PROV;30-54635766-6;EMPRESA MAIPU S.R.L.;10215;NO;744.826,19;398.497;601.232;0,880;1,000;0,971;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;3,88;0,02;12.049,71;3,88;10,98;0,99492
Diciembre (2013);MENDOZA;PROV;30-54635766-6;EMPRESA MAIPU S.R.L.;10225;NO;3.628.530,25;1.824.270;2.405.440;0,880;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;18,92;0,10;55.162,12;18,92;53,60;0,99492
Diciembre (2013);MENDOZA;PROV;30-54635766-6;EMPRESA MAIPU S.R.L.;10261;NO;695.665,06;371.923;490.559;0,880;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,02;0,01;11.246,18;2,02;5,72;0,99492
Diciembre (2013);MENDOZA;PROV;30-54636240-6;EL CACIQUE S.A.;7111;NO;2.822.799,25;995.750;2.495.806;1,000;1,000;0,944;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;13,21;0,14;30.603,87;13,21;35,89;0,98953
Diciembre (2013);MENDOZA;PROV;30-54636240-6;EL CACIQUE S.A.;7117;NO;2.704.590,75;1.231.788;2.474.162;1,000;1,000;0,913;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;18,29;0,19;37.858,37;18,29;49,70;0,98953
Diciembre (2013);MENDOZA;PROV;30-54636240-6;EL CACIQUE S.A.;7123;NO;1.250.439,38;671.791;1.116.448;1,000;1,000;0,935;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;8,13;0,09;20.647,15;8,13;22,09;0,98953
